COUNTRY,YEAR,CRIME RATE
Australia,1990,1.622476329
Australia,1991,1.658056176
Australia,1992,1.339194656
Australia,1993,1.34002604
Australia,1994,1.284950294
Australia,1995,1.545798336
Australia,1996,1.235339115
Australia,1997,1.318395032
Australia,1998,1.141214615
Australia,1999,1.311656171
Australia,2000,1.429368816
Australia,2001,1.206554948
Australia,2002,1.246264809
Australia,2003,0.979918636
Australia,2004,0.928994657
Australia,2005,0.933517177
Australia,2006,0.903605321
Australia,2007,0.81534592
Australia,2008,0.946745296
Australia,2009,0.700410619
Australia,2010,0.845536413
Australia,2011,0.798455043
Australia,2012,0.724037161
Australia,2013,0.806874918
Australia,2014,0.794519036
Australia,2015,0.704478537
Australia,2016,0.656958679
Australia,2017,0.510494428
Australia,2018,0.672065647
Australia,2019,0.537469148
Australia,2020,0.578068277
Austria,1990,0.98955571
Austria,1991,1.156491358
Austria,1992,1.049853269
Austria,1993,0.847555647
Austria,1994,1.27315966
Austria,1995,0.921019741
Austria,1996,1.219886237
Austria,1997,0.899984266
Austria,1998,0.816583126
Austria,1999,0.766078596
Austria,2000,1.290030931
Austria,2001,1.003925414
Austria,2002,0.900815979
Austria,2003,0.556785092
Austria,2004,0.755686949
Austria,2005,0.570047189
Austria,2006,0.684475621
Austria,2007,0.56756767
Austria,2008,0.677357074
Austria,2009,0.655150728
Austria,2010,0.695845316
Austria,2011,0.808178956
Austria,2012,0.873054037
Austria,2013,0.685465168
Austria,2014,0.522423911
Austria,2015,0.383746225
Austria,2016,0.695190404
Austria,2017,0.824106679
Austria,2018,0.973572162
Austria,2019,0.879947062
Austria,2020,0.810211467
Bulgaria,1990,1.178921692
Bulgaria,1991,2.088144035
Bulgaria,1992,2.280900817
Bulgaria,1993,2.093855579
Bulgaria,1994,2.287952887
Bulgaria,1995,1.828147624
Bulgaria,1996,1.959533519
Bulgaria,1997,2.247430099
Bulgaria,1998,2.394439674
Bulgaria,1999,2.127541861
Bulgaria,2000,2.373275438
Bulgaria,2001,1.520519287
Bulgaria,2002,1.403898908
Bulgaria,2003,1.295183413
Bulgaria,2004,1.437557317
Bulgaria,2005,1.317685981
Bulgaria,2006,1.378487478
Bulgaria,2007,0.977163685
Bulgaria,2008,0.932391031
Bulgaria,2009,0.912769727
Bulgaria,2010,0.708776942
Bulgaria,2011,0.792422957
Bulgaria,2012,0.983090054
Bulgaria,2013,0.908573217
Bulgaria,2014,0.698832493
Bulgaria,2015,0.784185414
Bulgaria,2016,0.598681812
Bulgaria,2017,0.958770407
Bulgaria,2018,1.048125221
Bulgaria,2019,0.638877709
Bulgaria,2020,0.727410274
Brazil,1990,3.163868318
Brazil,1991,3.278444123
Brazil,1992,2.829674938
Brazil,1993,3.045738228
Brazil,1994,3.242127478
Brazil,1995,3.736496523
Brazil,1996,4.439239156
Brazil,1997,4.255970562
Brazil,1998,4.091630374
Brazil,1999,4.067823689
Brazil,2000,4.243345371
Brazil,2001,4.304744572
Brazil,2002,4.267799359
Brazil,2003,4.286740811
Brazil,2004,4.121972765
Brazil,2005,4.128551755
Brazil,2006,4.22494165
Brazil,2007,3.923934855
Brazil,2008,4.141645042
Brazil,2009,4.342648465
Brazil,2010,4.503043477
Brazil,2011,4.510165875
Brazil,2012,4.673139425
Brazil,2013,4.673874316
Brazil,2014,4.697399984
Brazil,2015,4.449293148
Brazil,2016,4.43498518
Brazil,2017,4.669430769
Brazil,2018,4.240508453
Brazil,2019,3.476636773
Brazil,2020,3.538542076
Canada,1990,1.699702816
Canada,1991,1.965101817
Canada,1992,1.672776366
Canada,1993,1.387683143
Canada,1994,1.404572451
Canada,1995,1.296107899
Canada,1996,1.392947396
Canada,1997,1.321856275
Canada,1998,1.224174471
Canada,1999,1.09079943
Canada,2000,0.965272164
Canada,2001,1.041623743
Canada,2002,1.31604671
Canada,2003,0.984891979
Canada,2004,1.246439002
Canada,2005,1.109818447
Canada,2006,0.9875908
Canada,2007,1.000085067
Canada,2008,0.874976928
Canada,2009,0.952710284
Canada,2010,0.896661905
Canada,2011,1.028487968
Canada,2012,0.892061268
Canada,2013,0.848719704
Canada,2014,0.839858692
Canada,2015,0.980039675
Canada,2016,0.828751257
Canada,2017,0.934432291
Canada,2018,0.893887666
Canada,2019,0.822390237
Canada,2020,0.899527559
Switzerland,1990,1.500911102
Switzerland,1991,1.25651574
Switzerland,1992,1.218575684
Switzerland,1993,1.238102289
Switzerland,1994,1.150761098
Switzerland,1995,1.111877802
Switzerland,1996,0.86818118
Switzerland,1997,1.08268446
Switzerland,1998,0.816698509
Switzerland,1999,1.033340967
Switzerland,2000,1.060282323
Switzerland,2001,0.999936177
Switzerland,2002,1.335763209
Switzerland,2003,1.061199328
Switzerland,2004,1.026891766
Switzerland,2005,0.994479182
Switzerland,2006,0.990473655
Switzerland,2007,0.678856923
Switzerland,2008,0.647525377
Switzerland,2009,0.688725086
Switzerland,2010,0.655956412
Switzerland,2011,0.57371402
Switzerland,2012,0.419160569
Switzerland,2013,0.77998576
Switzerland,2014,0.578591256
Switzerland,2015,0.715890331
Switzerland,2016,0.591042817
Switzerland,2017,0.46883809
Switzerland,2018,0.651280627
Switzerland,2019,0.600364837
Switzerland,2020,0.619128313
Colombia,1990,10.93331931
Colombia,1991,11.79641509
Colombia,1992,12.17357634
Colombia,1993,11.86143353
Colombia,1994,11.00261476
Colombia,1995,8.932703992
Colombia,1996,9.247829012
Colombia,1997,9.061437937
Colombia,1998,8.833013189
Colombia,1999,9.038915033
Colombia,2000,9.523825822
Colombia,2001,10.78834517
Colombia,2002,10.75683751
Colombia,2003,9.455525929
Colombia,2004,7.592632564
Colombia,2005,6.86083031
